year,pac_name,country_of_origin,parent_company,dems,repubs,total
2000,7-Eleven,Japan,Ito-Yokado,1500,7000,8500
2000,ABB Group,Switzerland,Asea Brown Boveri,17000,28500,46000
2000,Accenture,UK,Accenture plc,23000,52984,75984
2000,ACE INA,UK,ACE Group,12500,26000,38500
2000,Acuson Corp (Siemens AG),Germany,Siemens AG,2000,0,2000
2000,Adtranz (DaimlerChrysler),Germany,DaimlerChrysler AG,10000,500,10500
2000,AE Staley Manufacturing (Tate & Lyle),UK,Tate & Lyle,10000,14000,24000
2000,AEGON USA (AEGON NV),Netherlands,Aegon NV,10500,47750,58250
2000,AIM Management Group,UK,AMVESCAP,10000,15000,25000
2000,Air Liquide America,France,L'Air Liquide SA,0,0,0
2000,Alcatel USA,France,Alcatel,6000,15000,21000
2000,Aliant Communications,Canada,BCE,1000,1000,2000
2000,Allfirst Financial,Ireland,Allied Irish Banks,6950,4950,11900
2000,Allied Domecq Spirits & Wine,UK,Allied Domecq,6200,35600,41800
2000,AMP Inc (Tyco International),Ireland,Tyco International,1250,16500,17750
2000,Anglogold Ltd,UK,Anglo American PLC,4000,10000,14000
2000,APL Ltd,Singapore,Neptune Orient Lines Ltd,5450,14750,20200
2000,Aqua-Chem Inc,France,Lyonnaise des Eaux-Dumez Group,0,1639,1639
2000,ASARCO LLC,Mexico,Nueva Grupo Mexico,2000,18735,20735
2000,AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca,28250,102905,131155
2000,Atlantic Richfield (BP),UK,BP PLC,30979,75475,106454
2000,ATOFINA Chemicals (TotalFinaElf),France,TOTAL FINA ELF,5650,20000,25650
2000,ATOFINA Petrochemicals (TotalFinaElf),France,TotalFinaElf,9250,15750,25000
2000,Aventis CropScience (Aventis),France,Aventis,12500,11000,23500
2000,Aventis Pasteur USA (Aventis),France,Aventis,54500,53000,107500
2000,Aventis Pharmaceuticals (Aventis),France,Aventis,1500,16500,18000
2000,Aventis Pharmaceuticals Products (Aventis),France,Aventis,7500,41200,48700
2000,Bacardi USA (Bacardi Ltd),UK,Bacardi Ltd,0,500,500
2000,Bacardi USA (Bacardi Ltd),UK,Bacardi Ltd,0,0,0
2000,BAE Systems North America (BAE Systems),UK,BAE Systems,98580,145059,243639
2000,Barrick Goldstrike Mines,Canada,Barrick Gold Corp,20075,53175,73250
